,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1420575846511742976,1420573632271568897,1627526649000.0,2021-07-28 22:44:09,-0500,,"This again, is another reminder that even when it’s not confirmed whether we are alive or not that the seriousness of black lives is one that continually gets pushed to the side.   When this family call on wider support and community, show up.   It’s the very least we can all do.",en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,3,22,https://twitter.com/TurnbullVanessa/status/1420575846511742976,[],[],0,,False,21,1,3,,None,,,,,,,[],,,,
1,1420575037954826247,1420573632271568897,1627526456000.0,2021-07-28 22:40:56,-0500,,The police have literally decided to follow appropriate processes due to the family and community marching and demanding that Gordans Life Matters and that the search for his life continues  Every inch of solidarity to this family demanding Justice for Gordon.,en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,3,22,https://twitter.com/TurnbullVanessa/status/1420575037954826247,[],[],0,,False,28,1,6,,None,,,,,,,[],,,,
2,1420573632271568897,1420573632271568897,1627526121000.0,2021-07-28 22:35:21,-0500,,NSWPolice have given in to community demands that they ramp up the search for an Aboriginal man last seen entering a river near Moree after allegedly running away from officers. Solidarity and love to the community  demanding this justice His life matters   https://t.co/eErL3WqyPy,en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,3,22,https://twitter.com/TurnbullVanessa/status/1420573632271568897,['https://www.smh.com.au/national/nsw/police-backflip-on-search-for-missing-man-as-protesters-take-to-the-street-20210728-p58dre.html'],[],0,,False,94,1,29,,None,,,,,,,[],,,,
3,1420303090041847808,1420303090041847808,1627461619000.0,2021-07-28 04:40:19,-0500,,Community have marched to demand “answers” from New South Wales police about what happened to a young Aboriginal man who has been missing for 18 days since he allegedly ran from police and went into the Gwydir River.   Where is he @nswpolice    https://t.co/9hVllQr6dH,en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,3,04,https://twitter.com/TurnbullVanessa/status/1420303090041847808,['https://www.theguardian.com/australia-news/2021/jul/28/tell-us-the-truth-marchers-demand-answers-from-nsw-police-on-missing-aboriginal-man-gordon-copeland?CMP=Share_iOSApp_Other'],[],0,,False,15,0,7,,None,,,,,,,[],,,,
4,1420302526528638977,1420301259295182851,1627461484000.0,2021-07-28 04:38:04,-0500,,"The family of Gomeroi man Gordon Copeland has demanded that his disappearance be classified as a “pursuit”, so it will be investigated as a death in custody if he isn’t found alive.  Where is he @nswpolice?   Can name too many pursuits that result in deaths due to NSW police.",en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,3,04,https://twitter.com/TurnbullVanessa/status/1420302526528638977,[],[],0,,False,24,3,8,,None,,,,,,,[],,,,
5,1420301259295182851,1420301259295182851,1627461182000.0,2021-07-28 04:33:02,-0500,,Marching  prior to even knowing what is to come.   An  Aboriginal man who was last seen by police entering a river near the northern NSW town of Moree.  They chased his car to the river. Suddenly he isn’t there.  Where is he @nswpolice  Accountability now!  https://t.co/DT6gvDtr5l,en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,3,04,https://twitter.com/TurnbullVanessa/status/1420301259295182851,['https://www.smh.com.au/national/family-of-missing-aboriginal-man-last-seen-in-river-to-march-against-nsw-police-20210727-p58dd4.html?fbclid=IwAR0DCuVZIVpsI_E8e990Srm_DaTZK5w0_9V2HsbXfXJVCk-IdZHgViErQx0'],[],0,,False,56,2,22,,None,,,,,,,[],,,,
6,1419922976556736512,1419922336485052421,1627370993000.0,2021-07-27 03:29:53,-0500,,Don’t just #raisetheage abolish the practice of incarcerating children and young people.   Demand justice for these lives.,en,['raisetheage'],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,2,03,https://twitter.com/TurnbullVanessa/status/1419922976556736512,[],[],0,,False,82,1,31,,None,,,,,,,[],,,,
7,1419922336485052421,1419922336485052421,1627370840000.0,2021-07-27 03:27:20,-0500,,"Without a home address, high chances  of Gaol until further court hearings.  The very reason young people don’t have a home address is because of removal  by the state.   The state simply, cannot be a child’s parent. Yet alone a four by four cell home in depriving conditions.",en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,2,03,https://twitter.com/TurnbullVanessa/status/1419922336485052421,[],[],0,,False,43,1,14,https://twitter.com/TurnbullVanessa/status/1419920972853891072,None,,,,,,,[],,,,
8,1419920972853891072,1419920972853891072,1627370515000.0,2021-07-27 03:21:55,-0500,,Children should absolutely never be locked up.  A common reason our young people end up in custody is usually due to failures of the system in the first place.  Know how many kids in care end up at court without a home address to put down?  No support with them.Yet removed  Gaol,en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,2,03,https://twitter.com/TurnbullVanessa/status/1419920972853891072,[],[],0,,False,81,2,20,,None,,,,,,,[],,,,
9,1419894873759444998,1419886703402053635,1627364292000.0,2021-07-27 01:38:12,-0500,,"@JacyntaKrakouer Thank you sister ❤️💛🖤   Has to be more First Nations voices led.  No stories or truths about us, without us.",en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,2,01,https://twitter.com/TurnbullVanessa/status/1419894873759444998,[],[],0,,False,5,1,0,,None,,,,,,,"[{'screen_name': 'JacyntaKrakouer', 'name': 'Jacynta Krakouer', 'id': '731373466654367744'}]",,,,
10,1419889703147343875,1419889703147343875,1627363060000.0,2021-07-27 01:17:40,-0500,,"This is history repeating itself and discrimination both in the health sector and child protection.  Aboriginal mothers can’t even have their birthing without fear of removal and child protection intervention.  Then theirs the trauma,the adoptions, and the silencing of our women",en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,2,01,https://twitter.com/TurnbullVanessa/status/1419889703147343875,[],[],0,,False,6,0,7,https://twitter.com/TurnbullVanessa/status/1419886703402053635,None,,,,,,,[],,,,
11,1419889015910633477,1419889015910633477,1627362896000.0,2021-07-27 01:14:56,-0500,,"Advocacy and support for families faced with this discrimination in  child protection must be supported.   Aboriginal families deserve support, family and kinship. Not punitive measures.  I was very lucky to do this alongside  my dear friends @mike_salter and Bj.  Thank you both.",en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,2,01,https://twitter.com/TurnbullVanessa/status/1419889015910633477,[],[],0,,False,11,1,3,https://twitter.com/TurnbullVanessa/status/1419886703402053635,None,,,,,,,[],,,,
12,1419886703402053635,1419886703402053635,1627362344000.0,2021-07-27 01:05:44,-0500,,In 2018 they amended the adoption laws removing parental consent in the process and giving more power to the courts and DCJ.We are now seeing a significant rate of Aboriginal children adopted. In particular mothers be greeted by child protection at their child’s birth and adopted,en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,2,01,https://twitter.com/TurnbullVanessa/status/1419886703402053635,[],[],0,,False,69,1,48,https://twitter.com/mike_salter/status/1419815431594934273,None,,,,,,,[],,,,
13,1419177493517402119,1419090940648583171,1627193256000.0,2021-07-25 02:07:36,-0500,,@SueAnneHunter Biggest congratulations ❤️  So deadly!,en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,7,02,https://twitter.com/TurnbullVanessa/status/1419177493517402119,[],[],0,,False,1,1,0,,None,,,,,,,"[{'screen_name': 'SueAnneHunter', 'name': 'Sue-Anne Hunter', 'id': '1397332815683874821'}]",,,,
14,1419157676529831942,1419157676529831942,1627188531000.0,2021-07-25 00:48:51,-0500,,"I want these lockdowns and restrictions to end more than anything.   I can’t stop thinking about our kids in custody, held on remand, delayed court dates, in statutory OOHC. This is bigger than you and me.   It’s for the lives that don’t and probably haven’t ever known freedom.",en,[],[],2684767178,2684767178,TurnbullVanessa,Nessa Turnbull-Roberts,7,00,https://twitter.com/TurnbullVanessa/status/1419157676529831942,[],[],0,,False,105,0,19,https://twitter.com/TurnbullVanessa/status/1419085891595771906,None,,,,,,,[],,,,
